,Momentum Punch,Benchmark,100% BOVA11,60% BOVA11 / 40% CDI,Pesos iguais entre ETFs,ESG estática (ISUS11/GOVE11/REVE11),40% BOVA11 / 40% IVVB11 / 20% CDI
2025-05-27,1.1630722493589327,1.429927987981201,1.3595640296543194,1.429927987981201,1.2452865327707365,1.202247483781141,1.416033710488039
2025-05-28,1.1606297235797913,1.4255229439789336,1.3520917082995447,1.4255229439789336,1.2446328934105657,1.2036086494982419,1.4158686370956037
2025-05-29,1.1580814862550355,1.4236264564865717,1.348604564190743,1.4236264564865717,1.2427008121889174,1.2021521838871285,1.4127582190239858
2025-05-30,1.1508694463547284,1.4152902560765523,1.3349551724972797,1.4152902560765523,1.237129630515651,1.1990220307690018,1.4119307138720099
2025-06-02,1.1456883184416102,1.4131258071434967,1.3310695714737875,1.4131258071434967,1.2326415629021819,1.1943855852519287,1.409172821170331
2025-06-03,1.1578252118268193,1.4185095668896763,1.3390399259657335,1.4185095668896763,1.241686242469491,1.2036869132270793,1.4114481703164923
2025-06-04,1.1535018113468274,1.4150812443943455,1.333161736319255,1.4150812443943455,1.2335509629080674,1.1949331623692192,1.4098565574499287
2025-06-05,1.1463358094637646,1.4118351213335545,1.3275824273649859,1.4118351213335545,1.2234079072027786,1.1834994154050482,1.3990618811383524
2025-06-06,1.1410851582587582,1.4109336904417884,1.3256894149644802,1.4109336904417884,1.2216428987403924,1.1817853596923782,1.4027049361916777
2025-06-09,1.1386534969128237,1.4091404010757178,1.3224015753254073,1.4091404010757178,1.2212929752202013,1.1823109983824762,1.4010912821719972
2025-06-10,1.1432880335165845,1.4133957135795314,1.3285787976888628,1.4133957135795314,1.2263912285167378,1.187050754175319,1.4079771692655536
2025-06-11,1.1481080836008024,1.4176453608547996,1.334755868027551,1.4176453608547996,1.2268286510507924,1.1857755910924417,1.4062692207850542
2025-06-12,1.1496810027070765,1.4223339662784875,1.3416304279979068,1.4223339662784875,1.2284647677084548,1.1858483319433077,1.4111980338205443
2025-06-13,1.1485702832583151,1.418396627168774,1.3349551724972801,1.418396627168774,1.2259286801504201,1.1845509086961,1.402874513711259
2025-06-16,1.1654500967251786,1.4319156487293276,1.3556784286308277,1.4319156487293276,1.241653612855893,1.1986803356603384,1.4111640944755777
2025-06-17,1.1605695340878313,1.4278697735991412,1.3488038686604722,1.4278697735991412,1.232622705380306,1.1890820127082131,1.4051103778326093
2025-06-18,1.1588652761952258,1.428432801225774,1.3492023255751628,1.428432801225774,1.2331181510923515,1.1896021815179103,1.4055811970662544
2025-06-20,1.1453731167234495,1.4191278492911006,1.3340583783958846,1.4191278492911006,1.2213200810235536,1.1788773954551255,1.4002630167547536
2025-06-23,1.1400797741620867,1.4167064562656984,1.329774320457702,1.4167064562656984,1.2209377738359486,1.179647275421875,1.4016483910400852
2025-06-24,1.149076607494918,1.4208401035879115,1.3357522383514286,1.4208401035879115,1.2296243262896354,1.1890699780669471,1.4123920267391035
2025-06-25,1.1381602646712954,1.4114882599170222,1.3206082911721502,1.4114882599170222,1.2203111142545142,1.1815555594577798,1.409738201989244
2025-06-26,1.1493923396293912,1.4208083699703602,1.3346562918050708,1.4208083699703602,1.223617542903045,1.1816345122551803,1.4144062013067533
2025-06-27,1.1451743011013207,1.4200397731348713,1.3329624318495268,1.4200397731348713,1.2204397969236582,1.1780427762205221,1.4160862506346976
2025-06-30,1.1633399748731652,1.4334718449512658,1.3534865355381125,1.4334718449512658,1.236043824986081,1.192079136479571,1.4217591699089187
2025-07-01,1.1675482240292503,1.4380298007570649,1.3601617910387391,1.4380298007570649,1.240629814378186,1.1960165607184825,1.4277309321400484
2025-07-02,1.1562957371267346,1.434491665806948,1.3540842969225317,1.434491665806948,1.2349895022698685,1.1905479326781314,1.4236827695020353
2025-07-03,1.1748838383532607,1.4475369599139225,1.3741100634244119,1.4475369599139225,1.2490809677746486,1.2027913705215139,1.4345171143738538
2025-07-04,1.176526507978971,1.44917864965854,1.3762023802946464,1.44917864965854,1.253254554077039,1.20753944244897,1.4342663252016048
2025-07-07,1.1622367216048604,1.43892283611806,1.359464301407072,1.43892283611806,1.2395482468393408,1.194826559465357,1.4325124410669112
2025-07-08,1.157510145963213,1.4373419578203095,1.3564753424602085,1.4373419578203095,1.2365176301546188,1.1918071866216742,1.4274433305530076
2025-07-09,1.1416525693581148,1.424737142559262,1.3361506952661186,1.424737142559262,1.2252797417483776,1.1833175782104617,1.4288847653557326
2025-07-10,1.1323811482187038,1.4218642375577262,1.3311691476962688,1.4218642375577262,1.223720987630841,1.1827809971033916,1.4326025600242631
2025-07-11,1.1275150894141155,1.4214754234634697,1.330073201149911,1.4214754234634697,1.218936587813348,1.1769398086321718,1.4297940483855769
2025-07-14,1.1178938583060287,1.4127808679538796,1.3160252005169903,1.4127808679538796,1.2122189516020783,1.1724351003766698,1.4286183654256182
2025-07-15,1.1156305211992357,1.4148892718676147,1.318814854994125,1.4148892718676147,1.2116341985536858,1.170852591594993,1.4254535623280709
2025-07-16,1.112988351773935,1.4153936812304524,1.3191137356863345,1.4153936812304524,1.2104221184539135,1.1692024308607862,1.4283937309016437
2025-07-17,1.1242646819702269,1.4161548484593627,1.3198112253180019,1.4161548484593627,1.217124031086796,1.1776279376311252,1.430725200285323
2025-07-18,1.1165823060306341,1.4025482796415978,1.2981913271078256,1.4025482796415978,1.2030899998535436,1.1659533702332732,1.424866218382501
2025-07-21,1.1173420813323536,1.408670091829138,1.3071580519236485,1.408670091829138,1.2073870987457962,1.1688215315377706,1.4280348778750276
2025-07-22,1.1184265742770991,1.4086586132835515,1.3066598667617102,1.4086586132835515,1.2070840302195514,1.1685788348018442,1.4277424518180726
2025-07-23,1.1245215474108203,1.4169604625668502,1.319014159463854,1.4169604625668502,1.216277621627586,1.176763012171463,1.4337349247910882
2025-07-24,1.1126613845745792,1.4069339052201888,1.3029735702079468,1.4069339052201888,1.2035863872620134,1.165161341577347,1.4272100199690723
2025-07-25,1.1185978669834036,1.4051140680385825,1.2996857305688738,1.4051140680385825,1.2048537013080083,1.1677771785755235,1.4321865778817102
2025-07-28,1.1164479595089376,1.3976686240870337,1.2877300468061876,1.3976686240870337,1.1983186490849334,1.162912666546275,1.4301095096701961
2025-07-29,1.1107836196461838,1.3995988961244952,1.2902208205911125,1.3995988961244952,1.197512509827233,1.1611197896965513,1.4274591903915095
