,ISUS11,GOVE11,REVE11,BOVA11
2024-05-10,-0.019735132590847207,-0.30221862205767147,-1.3695889153480845e-20,-0.010739652973284452
2024-05-11,-0.016841878817359244,-0.25791209588352154,-1.168801396986242e-20,-0.009165174497000116
2024-05-12,-0.014414430618804019,-0.2207387935858731,-1.0003400942805888e-20,-0.00784418254809381
2024-05-13,-0.012366916681158031,-0.18938370448116476,-8.582456654688354e-21,-0.006729946854613876
2024-05-14,-0.01063209712553098,-0.1628171347757518,-7.378517627383394e-21,-0.005785876176956359
2024-05-15,-0.009156615366234605,-0.1402219957710821,-6.35455518222211e-21,-0.004982934418632249
2024-05-16,-0.007897637475988888,-0.12094233998769012,-5.480843209317229e-21,-0.004297811803922906
2024-05-17,-0.00682042672695036,-0.10444621832539527,-4.733274935029977e-21,-0.003711604968447627
2024-05-18,-0.005896562062065981,-0.0902983982028884,-4.092126567527117e-21,-0.0032088474698869335
2024-05-20,-0.005002450680581048,-0.07660621202503728,-3.471626537171984e-21,-0.13919167404785845
2024-05-21,-0.004260377361884423,-0.06524229669232404,-2.9566386661840675e-21,-0.11854370886219553
2024-05-22,-0.0036401031924782716,-0.055743581448686234,-2.5261775973339924e-21,-0.10128476809073773
2024-05-23,-0.0031185543931109686,-0.04775672051653717,-2.164230470230401e-21,-0.08677283081899366
2024-05-24,-0.0026778272395570767,-0.14064109040248654,-1.8583723659477527e-21,-0.07450973134663898
2024-05-27,-0.0022054117160411036,-0.11582954417244014,-1.5305230031591222e-21,-0.06136491258417875
2024-05-28,-0.0018337927607390142,-0.2648151048791857,-1.2726249629143734e-21,-0.051024727782915315
2024-05-29,-0.0015364068353528777,-0.22187007493535146,-1.0662435438311887e-21,-0.0751840276429907
2024-05-30,-0.0012951422269354763,-0.18702943538786948,-8.988094858976138e-22,-0.06337775044404614
2024-05-31,-0.0010972228825071883,-0.2959832350632848,-7.614563979393098e-22,-0.053692572586085556
2024-06-03,-0.0008908728654902641,-0.24031893333775733,-6.182525483136226e-22,-0.04359483998912743
