CNPJ_Companhia,Nome_Companhia,Codigo_CVM,Data_Referencia,Categoria,Tipo,Especie,Assunto,Data_Entrega,Tipo_Apresentacao,Protocolo_Entrega,Versao,Link_Download
38.456.921/0001-36,INFRACOMMERCE CXAAS S.A.,25747,2025-03-25,Fato Relevante,,,Aumento de Capital Privado,2025-03-26,RE - Reapresentação Espontânea,025747IPE250320250204574105-93,2,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1352105&numSequencia=876831&numVersao=2
38.456.921/0001-36,INFRACOMMERCE CXAAS S.A.,25747,2025-03-28,Fato Relevante,,,Atualizações do Plano de Reestruturação,2025-03-28,AP - Apresentação,025747IPE280320250104574412-69,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1354083&numSequencia=878809&numVersao=1
38.456.921/0001-36,INFRACOMMERCE CXAAS S.A.,25747,2025-04-13,Fato Relevante,,,Emissão de Debêntures Conversíveis,2025-04-13,AP - Apresentação,025747IPE130420250115727036-56,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1361014&numSequencia=885740&numVersao=1
38.456.921/0001-36,INFRACOMMERCE CXAAS S.A.,25747,2025-05-05,Fato Relevante,,,Homologação do aumento de capital privado para fins de capitalização de créditos,2025-05-05,AP - Apresentação,025747IPE050520250113560993-47,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1371391&numSequencia=896103&numVersao=1
38.456.921/0001-36,INFRACOMMERCE CXAAS S.A.,25747,2025-05-23,Fato Relevante,,,Efetivação do Plano de Reestruturação,2025-05-23,AP - Apresentação,025747IPE230520250179465940-52,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1382532&numSequencia=907244&numVersao=1
38.456.921/0001-36,INFRACOMMERCE CXAAS S.A.,25747,2025-06-06,Fato Relevante,,,Proposta de Grupamento de Ações,2025-06-06,AP - Apresentação,025747IPE060620250158589596-87,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1387955&numSequencia=912667&numVersao=1
38.456.921/0001-36,INFRACOMMERCE CXAAS S.A.,25747,2025-06-30,Fato Relevante,,,Aprovação de Grupamento de Ações,2025-06-30,AP - Apresentação,025747IPE300620250199401591-33,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1395726&numSequencia=920438&numVersao=1
38.456.921/0001-36,INFRACOMMERCE CXAAS S.A.,25747,2025-08-29,Fato Relevante,,,Proposta de Grupamento de Ações,2025-08-29,AP - Apresentação,025747IPE290820250123421347-36,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1418677&numSequencia=943389&numVersao=1
38.456.921/0001-36,INFRACOMMERCE CXAAS S.A.,25747,2025-09-05,Fato Relevante,,,Aumento de Capital Privado - Capitalização de Créditos e Conversão de Debêntures.,2025-09-05,AP - Apresentação,025747IPE050920250122116751-59,1,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1420837&numSequencia=945549&numVersao=1
38.456.921/0001-36,INFRACOMMERCE CXAAS S.A.,25747,2025-09-05,Fato Relevante,,,Aumento de Capital Privado - Capitalização de Créditos e Conversão de Debêntures.,2025-09-08,RE - Reapresentação Espontânea,025747IPE050920250208596482-96,2,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1421409&numSequencia=946121&numVersao=2
